id,definition,created_at,updated_at,name,parent_id,pft_type,modeltype_id
1000000005,Early successional hardwood for eastern temperate forest. Default pft = 9. Archetypes are poplar and birch. May want to split into northern and southern types (e.g. sweetgum and tulip poplar). Clone by RK used in PDA tests.,2015-10-09 19:54:43.277959,2015-10-09 19:56:51.338619,temperate.Early_Hardwood.RK,16,plant,1
1000000082,test pft for Gday,2016-05-12 13:55:02.735689,2016-05-12 13:55:02.735689,everygreen.broadleaf,,plant,1000000007
1000000087,"",2016-09-11 15:11:27.869357,2016-10-19 06:51:21.528258,needleleaf_evergreen_temperate_tree,1000000004,plant,1000000009
1000000083,Generic PFT for temperate coniferous trees.,2016-05-13 10:06:14.817546,2016-05-13 10:06:47.147058,temperate.coniferous,42,plant,1000000008
1000000089,"",2016-11-16 00:01:01.446501,2016-11-16 00:01:01.446501,broadleaf_evergreen_tropical_tree,,plant,1000000009
1000000090,Soil biogeochemical parameters,2016-12-22 16:47:48.897674,2016-12-22 16:47:48.897674,soil,,plant,1
1000000092,"created by D. LeBauer for use with Switchgrass at EBI Farm for the DOE Variance Decomposition Synthesis; 

leaf_respiration_rate (prior_id 7) has been removed until bug #1474 is resolved",2017-04-12 16:41:28.189962,2017-04-12 16:41:28.189962,ebifarm.pavi.doe_vd-copy,52,plant,1
1000000085,Soil biogeochemical parameters,2016-08-02 15:36:00.724382,2016-08-02 15:36:00.724382,soil,,plant,3
1000000084,Maespa loose definition of a pft. Maespa does not directly use pft level structure.,2016-07-05 17:55:25.762072,2016-07-05 17:55:25.762072,broadleaf_evergreen_forest,,plant,1000000005
1000000091,"This is a clone of the PFT used by D. LeBauer for use with Switchgrass at EBI Farm for the DOE Variance Decomposition Synthesis. It it used as a preliminary step to model a related grass, cogongrass.  Created by Tempest McCabe April 2017.  Doesn't Work. ",2017-04-10 16:34:36.812595,2017-04-12 17:54:06.578204,cogongrass,,plant,1
1000000081,Shade-tolerant temperate broadleaved evergreen tree - Global PFT,2016-04-29 19:39:23.513771,2016-04-29 19:39:23.513771,TeBE,,plant,1000000006
1000000106,Soil biogeochemical parameters,2017-10-12 23:49:13.969294,2017-10-12 23:49:37.939571,soil.IF,1000000090,plant,1
1000000088,Temperate shade intolerant broadleaf,2016-11-02 22:55:12.88254,2016-11-02 22:55:12.88254,TeIBS,,plant,1000000006
1000000107,Created by Istem to allow varying allocation parameters w/ post-PDA ranges,2017-11-15 19:19:17.672082,2017-11-25 21:43:03.125172,temperate.deciduous_SDA,41,plant,3
1000000094,species not already included in linkages spp parameters,2017-06-16 17:42:07.897406,2017-06-16 17:42:07.897406,Other,,plant,1000000002
1000000003,eastern hemlock in LINKAGES,2015-01-06 16:27:09.107182,2017-07-18 21:46:33.838264,Tsuga.Canadensis_Hemlock,,plant,1000000002
1000000007,"",2015-11-02 19:22:43.007592,2015-11-02 19:22:43.007592,Norway Spruce,,plant,1000000004
1000000009,"",2015-11-06 13:42:53.155021,2017-07-18 21:46:55.176168,Betula.Alleghaniensis_Yellow.Birch,,plant,1000000002
1000000011,"",2015-11-06 13:43:25.172207,2017-07-18 21:47:18.264094,Castanea.Dentata_American.Chestnut,,plant,1000000002
1000000012,"",2015-11-06 13:43:41.582503,2017-07-18 21:47:37.918304,Fagus.Grandifolia_American.Beech,,plant,1000000002
1000000014,"",2015-11-06 13:44:12.046568,2017-07-18 21:48:02.441617,Pinus.Strobus_White.Pine,,plant,1000000002
1000000108,Soil biogeochemical parameters,2017-11-25 19:45:14.39559,2017-11-25 19:56:56.130339,soil_SDA,1000000104,plant,3
1000000010,"",2015-11-06 13:43:10.200966,2016-07-13 19:29:09.184918,Carya Tomentosa (Mockernut Hickory),,plant,1000000002
1000000055,species not in database - added it but might not have done it right - Ann Raiho,2015-11-06 13:55:49.447733,2016-07-13 19:44:51.947039,Quercus Nuttallii (River Red Oak),,plant,1000000002
1000000079,Species level definition for physical attributes of trees to be modeled in Maespa. ,2016-03-02 21:22:27.449653,2016-03-02 21:22:27.449653,eucalyptus,,plant,1000000005
