id,description,units,notes,created_at,updated_at,name,max,min,standard_name,standard_units,label,type
616,"",m,proposed standard name for Y cartesian coordinate of every mapped stem in a vegetation plot,2016-05-18 15:55:57.696964,2021-04-27 19:47:20.232228,stem_y_location,Infinity,-Infinity,"","","",""
214,ratio of leaf area to sapwood area at peak lai,m2 [leaf] m-2 [sapwood],"sapwood_ratio (m2/m2) is a distinct parameter from sapwood allocation (kg C sapwoood kg-1 C leaf m-1)

sapwood_ratio used in ed2 to estimate qsw. 

sapwood_ratio is the ratio of leaf area to sapwood area (m2/m2) at peak leaf area.  this parameter will be easier to find than _allocation (it's something that is occasionally calculated by empiricists).
",2010-10-28 22:07:53,2021-04-27 19:32:00.921272,sapwood_ratio,Infinity,0,,,,
2,photorespiration,umol [CO2] m-1 s-1,Not used in traits. Used for inputs metadata.,,2021-04-27 19:24:08.647149,RP,Infinity,0,,,,
3,rubisco activity,umol [CO2] m-1 s-1,"",,2021-04-27 19:24:21.08438,RA,Infinity,-Infinity,,,,
167,percent potassium (K) in stalk,percent,"",,2012-06-27 22:39:03,stalkK,100,0,,,,
191,soil depth,cm,"positive values are belowground, negative values aboveground",,2011-06-06 14:40:42,depth,1000,0,,,,
192,Fraction of storage to seed reproduction,fraction,allocation to clonal reproduction currently not implemented in ED2.1 (as of 06/29/2010),2010-06-29 22:38:09,2012-10-29 22:59:47,r_fract,100,0,,,,
193,Proportion of dispersal that is global,fraction,"",2010-06-29 22:42:32,2011-06-06 14:40:42,nonlocal_dispersal,1,0,,,,
195,Leaf biomass allometry coefficient,(kg leaf biomass)/plant/(cm^b2Bl),"",2010-08-31 21:55:00,2011-06-06 14:40:42,b1Bl,1,0,,,,
208,root temperature,degrees C,"used in, e.g., root respiration measurements",2010-09-28 20:45:51,2011-06-06 14:40:42,rootT,50,-50,,,,
24,Freezing mortality,degrees C,"",,2018-04-13 18:33:28.269053,plant_min_temp,10,-100,"","",Freezing Mortality Temperature,""
243,size class,mm,"Describes the maximum size of the root size class. Commonly this will be = 2 for fine roots where the <2mm size class is sampled. Can be used in to define the bounds of a root size class, e.g. root_diameter_max = 4 and root_diameter_min = 2.",2010-12-08 00:42:27,2011-06-30 15:33:58,root_diameter_max,1000,0.1,,,,
197,"","","",2010-09-16 22:34:13,2011-06-06 14:40:42,b2Bl,4,0,,,,
209,Height allometry coefficient,m,check units,2010-09-28 22:21:34,2011-06-06 14:40:42,b1Ht,Infinity,0,,,,
206,Water Use Efficiency,g plant biomass kg-1 H2O transpired,"",2010-09-20 21:24:50,2011-06-06 14:40:42,WUE,Infinity,-Infinity,,,,
213,surface CO2 efflux,mg CO2 m-2 h-1,must include soil temp and moisture as covariates when entering as a trait ,2010-10-18 16:35:28,2012-07-19 16:05:03,soil_respiration_m2,Infinity,0,,,,
29,converts Vm to leaf respiration,percent,"",,2011-06-06 14:40:42,dark_respiration_factor,100,0,,,,
228,total aboveground yield,Mg ha-1,"",2010-11-23 11:31:33,2012-06-22 21:50:03,Tyield,Infinity,0,,,,
212,Net Ecosystem Productivity,g m-2 d-1,"",2010-10-15 18:43:06,2011-06-06 14:40:42,NEP,Infinity,-Infinity,,,,
229,total stem volume,m3 ha-1,"",2010-11-23 11:31:33,2012-01-13 20:14:47,stem_volume_total,Infinity,-Infinity,,,,
198,"","","",2010-09-16 22:38:33,2011-06-06 14:40:42,b1Bs,Infinity,-Infinity,,,,
199,"","","",2010-09-16 22:39:07,2011-06-06 14:40:42,b2Bs,Infinity,-Infinity,,,,
238,total yield of coarse root,Mg ha-1,"",2010-11-23 11:31:33,2012-06-22 21:50:25,Tyield_coarse_root,Infinity,0,,,,
239,total yield of fine root,Mg ha-1,"",2010-11-23 11:31:33,2012-06-22 21:50:33,Tyield_fine_root,Infinity,0,,,,
240,total leaf yield,Mg ha-1,"",2010-11-23 11:31:33,2013-10-09 02:32:31,leaf_yield,Infinity,0,,,,
246,Biomass of living parts of plant (stem+Leaves),g m-2,"",2010-12-18 06:40:38,2012-02-07 23:07:32,aboveBiomass,Infinity,0,,,,
25,Density independent mortality,year-1,"",,2011-06-06 14:40:42,mort3,Infinity,0,,,,
254,leaf mass per area leaf (kg leaf / m2 leaf),kg m-2,equal to SLM (specific leaf mass). This is the mass per unit area of a leaf.,2011-02-13 05:39:21,2011-06-06 14:40:42,LMA,20,0,,,,
255,"",year,"",2011-02-14 19:51:45,2012-02-13 21:26:19,leaf_longevity,500,0.01,,,,
304,Total leaf biomass,g m-2,"",2011-09-08 17:08:26,2015-11-02 18:28:42.546041,leaf_biomass,Infinity,0,"","","",""
154,number of seeds per plant,count [seeds per plant],"",,2021-04-27 19:30:57.907435,seeds.per.plant,Infinity,-Infinity,,,,
163,dry weight of aerial biomass,g [per plant],"",,2021-04-27 19:31:34.151185,aboveground_biomass_per_plant,Infinity,0,,,,
210,Height allometry coefficient,cm -1,check units,2010-09-28 22:21:59,2021-04-27 19:31:48.000971,b2Ht,Infinity,-Infinity,,,,
211,carbon in stems,g kg-1,"",2010-10-08 22:05:13,2021-04-27 19:31:52.278574,stemC,Infinity,-Infinity,,,,
217,Nitrogen Use Efficiency,g g-1 [N],"",2010-11-19 22:13:57,2021-04-27 19:32:08.038578,NUE (N),Infinity,-Infinity,,,,
218,Nutrient Use efficieny,g g-1 [P],"",2010-11-19 22:14:36,2021-04-27 19:32:13.93534,NUE (P),Infinity,-Infinity,,,,
220,Phosphorus Productivity,g g-1 [P] yr-1,"",2010-11-19 23:36:04,2021-04-27 19:32:32.44348,A (P),Infinity,-Infinity,,,,
219,Nitrogen Productivity,g g-1 [N] yr-1,"",2010-11-19 23:33:49,2021-04-27 19:32:35.808885,A (N),Infinity,-Infinity,,,,
247,grams of root per plant,g [root plant-1],"",2010-12-18 06:41:56,2021-04-27 19:33:26.681501,root_g_per_plant,Infinity,0,,,,
248,grams of shoot per plant,g [shoot plant-1],"",2010-12-18 06:42:33,2021-04-27 19:33:27.542747,Shoot_g_per_plant,Infinity,0,,,,
